PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=278 ttl=63 时间=67.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=279 ttl=63 时间=0.130 毫秒
64 字节，来自 10.1.1.1: icmp_seq=280 ttl=63 时间=69.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=281 ttl=63 时间=68.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=282 ttl=63 时间=67.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=283 ttl=63 时间=69.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=284 ttl=63 时间=67.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=285 ttl=63 时间=0.128 毫秒
64 字节，来自 10.1.1.1: icmp_seq=286 ttl=63 时间=68.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=288 ttl=63 时间=68.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=289 ttl=63 时间=67.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=290 ttl=63 时间=66.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=292 ttl=63 时间=67.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=293 ttl=63 时间=66.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=294 ttl=63 时间=67.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=295 ttl=63 时间=67.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=296 ttl=63 时间=68.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=297 ttl=63 时间=86.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=298 ttl=63 时间=87.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=300 ttl=63 时间=86.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=301 ttl=63 时间=86.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=302 ttl=63 时间=87.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=303 ttl=63 时间=44.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=304 ttl=63 时间=85.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=306 ttl=63 时间=86.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=308 ttl=63 时间=87.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=309 ttl=63 时间=42.7 毫秒
